timestamp,UTC_timestamp,MJD,P1,P2,P3,P4,P5
2025-09-27 16:11:17 IST,2025-09-27 10:41:17 UTC,60945.44533564802,3465.0,200.25,145.69,2252.06,569.06
2025-09-27 16:12:14 IST,2025-09-27 10:42:14 UTC,60945.44599537039,3471.0,192.56,145.69,2247.56,568.88
2025-09-27 16:13:14 IST,2025-09-27 10:43:14 UTC,60945.446689814795,3480.19,196.5,145.69,2258.81,566.63
2025-09-27 16:14:14 IST,2025-09-27 10:44:14 UTC,60945.4473842592,3487.31,195.75,145.31,2257.69,566.81
2025-09-27 16:15:14 IST,2025-09-27 10:45:14 UTC,60945.4480787036,3488.44,195.94,145.31,2259.75,566.25
2025-09-27 16:16:14 IST,2025-09-27 10:46:14 UTC,60945.448773148004,3496.5,188.81,145.13,2251.5,567.0
2025-09-27 16:17:14 IST,2025-09-27 10:47:14 UTC,60945.44946759241,3499.69,201.19,144.75,2249.63,567.19
2025-09-27 16:18:14 IST,2025-09-27 10:48:14 UTC,60945.45016203681,3504.0,191.06,145.13,2254.5,566.06
2025-09-27 16:19:14 IST,2025-09-27 10:49:14 UTC,60945.45085648168,3523.69,187.69,145.13,2250.56,566.81
2025-09-27 16:20:14 IST,2025-09-27 10:50:14 UTC,60945.45155092608,3532.31,196.69,145.69,2253.0,564.56
2025-09-27 16:21:14 IST,2025-09-27 10:51:14 UTC,60945.452245370485,3536.81,188.81,144.94,2252.63,565.69
2025-09-27 16:22:14 IST,2025-09-27 10:52:14 UTC,60945.45293981489,3541.13,188.44,145.88,2250.19,565.13
2025-09-27 16:23:14 IST,2025-09-27 10:53:14 UTC,60945.45363425929,3535.88,195.56,146.06,2244.38,566.06
2025-09-27 16:24:14 IST,2025-09-27 10:54:14 UTC,60945.454328703694,3541.13,186.19,145.5,2237.25,566.44
2025-09-27 16:25:14 IST,2025-09-27 10:55:14 UTC,60945.4550231481,3539.81,200.44,146.25,2246.81,566.06
2025-09-27 16:26:14 IST,2025-09-27 10:56:14 UTC,60945.4557175925,3536.81,196.88,145.69,2232.19,566.81
2025-09-27 16:27:14 IST,2025-09-27 10:57:14 UTC,60945.4564120369,3538.13,198.56,146.63,2241.38,567.0
2025-09-27 16:28:14 IST,2025-09-27 10:58:14 UTC,60945.457106481306,3526.31,199.31,146.63,2244.38,565.31
2025-09-27 16:29:14 IST,2025-09-27 10:59:14 UTC,60945.45780092571,3532.13,195.75,145.69,2228.25,566.44
2025-09-27 16:30:14 IST,2025-09-27 11:00:14 UTC,60945.45849537058,3527.06,189.75,146.25,2225.63,567.38
2025-09-27 16:31:14 IST,2025-09-27 11:01:14 UTC,60945.45918981498,3531.0,201.0,146.81,2241.94,565.88
2025-09-27 16:32:14 IST,2025-09-27 11:02:14 UTC,60945.459884259384,3529.88,185.81,146.25,2236.69,566.81
2025-09-27 16:33:14 IST,2025-09-27 11:03:14 UTC,60945.46057870379,3536.06,190.88,146.63,2237.06,567.19
2025-09-27 16:34:14 IST,2025-09-27 11:04:14 UTC,60945.46127314819,3538.13,186.75,146.63,2241.19,565.88
