timestamp,UTC_timestamp,MJD,T1,H1,T2,H2
2025-09-27 16:11:16 IST,2025-09-27 10:41:16 UTC,60945.44532407401,24.66,68.1,30.56,47.5
2025-09-27 16:11:26 IST,2025-09-27 10:41:26 UTC,60945.44543981459,24.64,68.0,30.56,47.4
2025-09-27 16:11:36 IST,2025-09-27 10:41:36 UTC,60945.445555555634,24.64,67.9,30.55,47.3
2025-09-27 16:11:46 IST,2025-09-27 10:41:46 UTC,60945.44567129621,24.63,67.9,30.56,47.3
2025-09-27 16:11:57 IST,2025-09-27 10:41:57 UTC,60945.44579861127,24.62,67.8,30.55,47.2
2025-09-27 16:12:07 IST,2025-09-27 10:42:07 UTC,60945.44591435185,24.6,67.8,30.55,47.2
2025-09-27 16:12:17 IST,2025-09-27 10:42:17 UTC,60945.446030092426,24.6,67.7,30.55,47.1
2025-09-27 16:12:27 IST,2025-09-27 10:42:27 UTC,60945.44614583347,24.59,67.6,30.55,47.1
2025-09-27 16:12:37 IST,2025-09-27 10:42:37 UTC,60945.44626157405,24.59,67.6,30.55,47.1
2025-09-27 16:12:47 IST,2025-09-27 10:42:47 UTC,60945.44637731463,24.58,67.5,30.54,47.0
2025-09-27 16:12:57 IST,2025-09-27 10:42:57 UTC,60945.44649305567,24.58,67.5,30.55,46.9
2025-09-27 16:13:07 IST,2025-09-27 10:43:07 UTC,60945.44660879625,24.57,67.4,30.54,46.9
2025-09-27 16:13:17 IST,2025-09-27 10:43:17 UTC,60945.44672453683,24.57,67.2,30.54,46.8
2025-09-27 16:13:27 IST,2025-09-27 10:43:27 UTC,60945.44684027787,24.56,67.2,30.54,46.7
2025-09-27 16:13:37 IST,2025-09-27 10:43:37 UTC,60945.44695601845,24.55,67.1,30.54,46.7
2025-09-27 16:13:48 IST,2025-09-27 10:43:48 UTC,60945.44708333351,24.55,67.0,30.54,46.7
2025-09-27 16:13:58 IST,2025-09-27 10:43:58 UTC,60945.447199074086,24.54,67.0,30.54,46.7
2025-09-27 16:14:08 IST,2025-09-27 10:44:08 UTC,60945.447314814664,24.54,66.9,30.54,46.5
2025-09-27 16:14:18 IST,2025-09-27 10:44:18 UTC,60945.44743055571,24.54,66.8,30.54,46.5
2025-09-27 16:14:28 IST,2025-09-27 10:44:28 UTC,60945.44754629629,24.53,66.8,30.54,46.4
